uniform,normal,exponential
6.9632,4.7328,0.2479
4.4616,2.8797,2.796
3.8102,6.4836,2.2487
3.0151,0.8918,5.0527
6.3028,4.3305,0.6816
3.6181,4.0697,0.4627
0.8765,5.2223,0.4605
1.1801,5.8425,0.0451
9.619,6.6901,2.0918
9.0858,3.9314,0.0036
6.9971,5.8799,0.9643
2.6587,5.2937,1.2167
9.6918,2.4327,1.407
7.7875,7.8508,6.7035
7.1689,2.8418,0.0001
4.4936,5.6292,0.3907
2.7224,5.5849,2.6258
0.9639,5.4135,3.1304
9.026,4.2581,3.8597
4.5578,6.2409,2.7002
2.0236,2.6594,0.7023
3.0596,4.9013,2.4707
5.7922,4.1542,3.7447
1.7677,3.9841,3.1399
8.5661,5.6431,0.2644
7.5852,6.6162,0.5168
7.1946,4.4851,0.33
4.3209,6.171,3.8076
6.2731,5.0746,1.514
5.841,3.6609,0.7649
6.4985,4.6131,0.3597
0.8444,4.5508,0.1639
4.1581,3.955,2.5024
0.4161,5.6427,0.1804
4.9399,5.352,1.7344
3.2986,2.614,0.5879
1.4452,2.5227,0.2973
1.034,5.637,0.0084
5.8764,3.7771,0.8984
1.7059,5.4531,1.078
9.2512,6.1714,4.828
5.8106,3.0936,0.8975
3.4687,2.8827,0.3241
5.9092,7.5116,1.8908
0.228,5.5274,0.0809
9.5856,4.3711,5.835
4.823,3.5991,4.1496
7.8274,4.2343,2.6325
0.8273,3.2141,4.9742
4.8666,6.3251,1.2135
4.9071,3.8349,3.5474
9.3783,6.6403,1.2948
5.7173,4.3991,10.4492
4.7349,3.435,1.5218
2.6698,4.3605,1.7085
3.3157,1.0637,1.4807
5.2067,4.8188,1.9484
4.3891,4.7448,7.2182
0.2161,6.2371,0.2829
8.2629,2.1705,0.3889
8.9616,6.7428,1.4626
1.4025,6.2309,1.538
5.5404,6.8781,0.8989
1.0858,4.9209,0.2584
6.7224,6.5208,3.0373
2.8123,2.7931,0.5637
6.5942,6.0696,3.1893
7.2699,3.8433,8.8269
7.6865,2.5229,5.0014
1.0774,3.3138,0.4549
9.1601,5.0083,0.5818
2.3021,3.7636,0.7847
0.3741,5.5641,2.6972
5.5485,2.2876,3.1141
3.7092,1.8094,0.0999
8.2979,7.0586,1.076
8.0825,6.3557,4.2967
3.1714,3.4261,1.7461
9.529,4.9955,1.7743
2.9092,6.5293,0.5664
5.1506,5.6288,1.0543
2.5597,5.2223,2.3864
9.3604,6.6427,2.5932
1.6461,3.9039,4.0203
0.4491,5.0468,0.2038
4.351,4.9732,2.0669
9.9238,4.5909,1.6648
8.9168,4.4153,0.2954
7.4861,5.1093,1.3928
8.9079,5.0516,1.4049
8.9345,3.4274,0.2611
5.1886,6.2027,0.8156
3.1593,3.5354,5.1443
7.7201,4.6726,4.2616
6.6166,4.5571,2.962
3.7366,5.5372,0.8129
0.9447,1.8213,1.2667
7.4679,6.3364,6.4916
2.6246,3.9845,4.8742
9.3681,6.8299,3.5109
2.4097,4.2828,0.8504
1.2276,4.9267,0.3833
8.3111,7.8707,0.3306
1.5328,4.584,0.0607
1.7927,6.8583,1.5126
5.9938,5.0586,1.7724
8.7456,5.6231,5.5244
1.9643,5.1049,1.8779
3.1032,6.2718,0.4786
7.774,3.9717,3.0399
9.7183,3.5239,0.5167
5.0074,4.0421,4.3415
1.439,5.1496,0.1103
0.1394,4.6688,0.5903
2.2966,6.0654,8.0574
1.3182,6.9571,0.8502
6.7766,3.5362,0.0056
1.2183,3.8991,0.736
5.0633,2.8456,0.9319
6.9426,8.0456,0.5437
5.8112,5.457,2.5023
1.9978,5.7197,1.5343
8.0412,2.9897,2.2276
7.1541,4.9982,2.1349
7.3898,5.7639,0.0276
1.3106,4.6209,0.4559
1.2375,6.6136,4.0205
9.2756,8.4677,4.3124
3.9758,3.5794,1.3419
3.0095,3.4669,0.9528
4.8858,3.6834,1.0663
6.6286,7.4093,1.0799
9.5562,6.5635,4.9661
2.8645,4.7967,0.0439
9.2481,5.0548,1.7887
0.2486,3.7752,0.8276
5.552,6.335,4.1679
6.3398,4.4301,2.4216
1.059,4.6099,1.1813
1.4034,5.9132,2.5105
4.1911,4.718,7.846
9.6623,4.6476,0.7556
5.9604,5.0159,2.1251
9.3302,6.193,5.4146
8.0436,7.4697,3.2056
4.6738,5.8782,0.2205
7.8476,6.205,3.0467
0.1784,4.7002,2.0054
1.0914,3.9383,4.023
8.2943,5.981,1.2375
7.9682,5.2569,1.3478
2.3264,2.8661,3.1635
5.3077,4.5079,0.7441
6.0602,4.8757,1.6755
8.6774,4.2343,4.3824
6.0311,7.2226,0.1416
4.1257,5.7198,2.1164
3.7418,7.0598,7.5021
4.2588,5.3951,1.6001
6.5193,5.1221,2.9091
8.6749,3.5951,6.0792
4.539,5.0179,0.7915
2.4784,5.0196,0.0832
2.3666,2.9493,0.0368
7.4601,4.1907,0.683
8.1657,4.5151,8.5399
1.0528,5.6202,0.7901
0.6656,5.692,5.7163
5.9443,4.128,0.7595
1.4617,5.7033,2.8514
8.2466,4.7269,0.0596
3.1033,0.6956,1.6468
1.4387,4.2729,1.2327
9.2097,6.6185,0.1252
1.6553,2.4773,3.5531
2.8472,5.169,1.5482
1.5361,7.3779,0.445
1.1549,3.8591,2.044
0.2115,5.0032,2.522
0.554,3.044,0.5151
1.7464,7.4408,0.3837
0.5338,4.875,2.0026
5.9114,5.0699,3.7472
6.8071,7.0315,3.3661
3.9363,5.9922,1.2366
3.1799,3.6866,1.3668
5.0453,4.0291,1.7429
8.75,5.7424,0.0619
8.5113,4.0638,2.486
0.4348,1.8241,2.3526
1.815,4.9201,5.3433
2.3674,2.7797,10.1699
2.4939,7.4244,0.8154
5.7123,5.2652,0.6963
4.1626,3.6422,1.0733
0.4925,3.9521,0.4437
3.7361,2.1659,0.3818
5.2375,3.3508,1.3177
1.0167,6.5245,3.5281
8.3346,8.3477,3.3986
0.5196,6.0896,0.7888
9.2484,4.8619,0.1063
0.9911,4.3521,0.2279
8.4357,3.5653,0.3931
9.0265,8.0896,2.1889
9.7957,4.7169,0.837
8.0203,8.1734,4.2931
7.7948,7.0903,1.7341
6.4248,2.3888,0.2771
7.79,4.0011,0.0835
1.3455,3.9964,1.8953
5.3607,4.8802,0.087
5.1422,4.9095,0.9941
8.5757,9.4944,0.6118
4.628,3.3842,1.1568
3.8509,5.3435,1.2768
6.3956,5.9248,2.612
2.6646,4.9976,0.5141
1.3977,5.1653,7.4319
4.7788,3.4328,2.8551
4.1689,5.1597,0.8954
2.3257,5.7671,0.0128
3.6751,5.4914,0.7901
3.6639,5.8553,2.452
3.275,7.1189,0.5648
3.7946,6.4054,0.4029
6.8574,5.1069,3.3282
2.9688,3.2424,2.9815
9.4886,4.1,5.6517
9.1635,4.6706,0.45
4.8091,5.3785,2.5556
3.2836,4.2825,0.5244
5.3543,3.5964,4.3661
8.4856,3.2177,4.9853
6.5259,2.5232,2.2677
8.0439,4.6476,0.1112
5.3272,2.7955,1.5926
6.3292,3.4992,0.2116
2.8816,4.4091,0.1488
7.3489,2.9961,0.3906
2.024,5.5696,3.1583
6.948,6.1103,1.15
8.6072,4.1759,5.7663
1.321,4.3445,2.1672
6.1438,5.8061,0.5946
0.951,3.929,3.3439
7.2572,3.8259,0.438
0.8449,6.7947,0.3427
9.3594,6.3263,0.7355
1.3741,5.9023,4.4195
9.5888,6.3885,11.4493
8.0088,2.0341,0.0342
5.9368,7.0308,1.8111
7.8262,5.5881,0.8828
7.9511,6.5162,3.8329
9.4603,5.5807,2.834
2.5338,5.0734,0.2424
5.9008,4.587,0.899
0.9505,5.5507,0.0535
6.1617,4.5324,0.3509
1.7129,6.3018,1.8865
5.6495,2.6203,1.82
5.7243,4.1876,5.5425
4.6599,8.0672,1.3285
5.2263,4.0609,0.2493
7.6392,4.642,1.7285
7.9924,3.6761,2.3516
4.9215,5.5038,0.5683
5.9959,3.8956,0.4884
9.3124,4.7216,2.1633
1.1973,6.2733,0.1105
1.171,3.9519,5.2822
0.8771,6.1829,2.125
6.5786,6.2333,0.8347
4.1861,6.5824,0.9593
7.7432,5.2108,0.6301
6.7123,9.8619,0.0707
3.3364,6.5818,3.2204
8.9837,5.4873,0.4757
7.6253,3.6861,1.4478
2.7053,4.8544,0.482
3.6419,7.1395,2.7238
3.1444,7.5643,0.8171
1.5761,7.2175,0.7421
1.4778,6.1778,1.4115
9.3613,3.1165,1.4243
4.379,5.7307,5.9745
3.8332,3.1379,1.4688
7.2969,2.7688,0.3401
5.5299,5.3587,0.2956
9.3614,5.7848,5.4322
7.803,6.3551,5.4727
4.7937,5.7457,1.0575
3.7636,5.7974,1.8493
9.8663,3.523,0.4632
7.1776,4.8425,0.0291
9.5119,2.7393,0.7765
1.1848,1.9949,3.1549
8.5053,6.111,1.4032
6.3707,3.8703,0.6487
1.2192,6.3087,0.6865
5.8826,6.6625,4.1777
6.861,4.071,0.499
0.123,5.8855,0.2506
4.5432,4.0083,1.8402
8.254,2.2312,0.5271
2.9536,5.185,6.7219
4.5855,4.2937,1.6834
4.4231,4.3399,10.4036
3.0193,7.963,0.0566
9.1844,2.7112,2.806
7.8129,5.5743,9.5401
1.1059,3.5078,0.7213
9.9703,6.3624,2.5788
8.792,5.4476,1.0995
2.8391,5.569,0.0814
8.369,3.5827,2.0442
1.0642,3.8516,0.7261
9.991,6.3909,0.1312
6.6568,7.6562,0.893
6.5013,5.7205,0.8708
0.9044,3.6539,0.1639
8.9703,5.5084,0.7139
0.29,8.6412,2.7095
2.4083,5.1536,3.5511
1.4302,7.1928,3.003
7.7677,3.8895,1.8996
1.982,4.9369,7.0798
9.1064,5.9293,0.715
6.5627,5.596,0.8483
0.3616,3.8504,2.1943
0.0543,3.7857,1.3288
0.5166,6.4824,5.2844
6.0593,6.7873,2.9202
8.0148,7.2682,2.8441
2.3855,7.7059,4.1557
8.4941,5.2019,2.2341
0.5723,4.5332,1.3556
8.0096,7.0265,1.5645
9.278,6.0696,4.9519
7.7211,3.5263,0.0295
6.9812,3.4495,1.041
8.3798,5.7379,2.8255
0.4015,4.7341,1.9156
2.0178,4.9604,0.1733
1.2492,6.6088,4.1598
5.0453,6.1386,1.1599
7.4519,6.9948,2.1478
6.3001,2.1027,0.0527
8.5113,5.3801,2.8169
1.5521,6.042,3.2164
7.3462,2.7101,0.4251
1.9304,4.0177,0.7372
2.7076,3.7393,0.756
7.099,5.0325,11.4825
9.802,7.4418,0.6081
6.1154,8.0339,7.9205
0.545,3.7786,0.7224
6.1631,5.7898,1.0739
0.4235,5.8382,1.8165
8.8415,5.5814,3.9914
7.0958,5.5985,3.569
1.7313,5.4556,1.7025
0.9172,7.5314,1.5952
1.8353,6.6537,0.1116
9.8003,3.4098,1.4589
4.5856,6.1936,1.5051
7.8408,6.3386,4.0479
6.3641,5.4725,0.7807
5.7241,6.6971,1.0226
1.4513,5.2821,3.0181
9.4602,5.3007,0.5562
3.0134,5.1819,2.9634
5.7802,1.9726,0.2189
6.9978,4.8794,1.602
6.4923,3.9976,0.1066
9.4059,3.2203,6.339
1.4844,7.151,4.0122
5.0835,5.7563,2.3038
4.0403,4.9553,1.3518
4.7417,4.1528,6.3164
1.1922,5.4443,0.7162
1.3409,6.4872,1.2453
2.7808,3.7596,0.1962
3.047,4.9928,1.2761
4.279,6.3021,2.3874
6.1099,2.096,2.1065
6.3463,4.9136,4.8979
4.1181,4.3561,6.4656
4.0878,4.7993,2.9245
2.1763,4.2476,0.4559
5.8831,5.2064,1.857
3.1704,7.8854,8.6767
0.3606,4.5141,8.2276
4.184,5.4376,2.6824
4.7413,7.9921,1.0168
2.2559,4.175,0.8153
5.7246,7.722,0.4463
5.6577,5.008,0.1856
7.02,7.6728,2.379
6.4795,6.1253,2.7606
6.5243,5.4607,1.6915
3.1621,4.9016,6.5475
7.8743,4.0639,4.8464
5.4914,5.1137,4.116
4.3142,6.346,3.3607
6.2601,4.9803,2.5524
3.6066,4.5251,0.4244
5.1274,4.6238,0.8986
7.3671,6.4887,2.7816
8.864,6.8377,2.2471
9.2106,3.9993,1.1529
5.0363,3.9971,0.0877
5.2028,5.569,0.914
7.9987,7.2913,4.1124
3.1445,6.719,1.4071
8.3738,3.1222,0.9016
4.9414,4.6039,4.8491
1.1586,3.6041,3.6129
0.7206,4.5987,1.495
8.4199,7.4066,0.2635
0.5557,2.8661,2.048
2.8061,2.5717,4.1491
3.3413,3.7572,1.2047
1.7299,5.431,0.4673
3.1389,5.9311,3.9097
7.4269,5.6562,2.215
0.1468,6.7635,2.977
8.2717,2.3554,1.8562
8.5655,6.7825,2.1596
3.7226,4.5319,0.2189
1.5361,6.0972,4.5408
6.0084,3.0149,1.3932
1.1967,5.0074,0.8471
3.6492,5.3544,0.6945
9.5843,6.7336,3.0839
9.9546,2.6221,1.1713
7.721,5.0461,2.0437
3.1096,3.3721,0.8048
6.8767,5.7582,1.2528
7.0541,6.1658,0.6476
3.8784,6.9308,3.0573
6.4089,4.1975,4.8502
0.1073,6.3908,0.2313
2.0906,7.0414,1.771
5.2509,2.5351,1.5533
1.6375,5.9185,1.2883
1.6591,6.4378,4.8979
8.363,4.6119,3.6424
9.8913,3.1838,1.1903
5.5597,6.4144,1.4644
8.3907,3.2007,0.2451
9.9032,4.7325,0.0554
1.416,4.9398,2.3299
4.4825,6.0733,0.5993
3.9257,4.0601,0.982
0.8005,3.9731,4.2111
7.5533,5.1484,0.9349
4.3378,6.5096,5.0253
4.6933,8.4312,1.9446
1.5067,2.7388,2.2718
1.8093,5.473,1.0155
9.071,3.3702,4.133
0.4465,6.5282,0.0598
2.3285,3.5922,3.837
2.9206,3.988,1.5326
4.902,4.1161,2.2836
5.8645,4.8857,7.2957
4.9329,5.4848,2.2546
0.8412,5.7256,2.0946
2.4367,4.9913,0.894
8.4359,3.0052,0.3521
6.3759,6.0917,0.7502
6.4915,4.9206,5.1153
6.702,6.7426,8.5446
7.629,3.9384,1.2776
0.5811,2.5966,0.6006
3.6661,4.949,1.2574
5.3953,6.9439,6.0146
3.3846,5.2414,0.1402
8.4448,4.7005,0.1785
4.8257,3.6945,1.2525
7.6863,7.6366,3.7644
8.5202,3.4556,6.6466
5.0479,3.9119,3.1127
9.0955,5.8551,1.0927
5.8712,2.216,0.6915
8.5027,6.9119,1.9474
3.4059,5.9363,1.2034
4.9882,6.3488,1.0784
5.3141,5.8372,5.7282
1.0498,4.7583,0.642
3.9855,3.4053,4.558
9.1734,4.7899,1.8926
6.3083,3.5371,0.6663
1.7751,5.7292,1.5195
3.3886,6.2102,1.2561
1.916,7.2152,0.3456
0.2482,5.5577,0.1688
9.2746,6.3869,1.0104
4.4821,4.5543,4.6293
3.0754,4.2826,1.3082
5.9848,5.7105,0.0174
0.0731,4.4203,1.1436
2.7802,5.4038,0.2024
7.0303,3.4082,1.646
6.3377,3.6776,0.1042
9.8181,5.9531,0.7424
6.2036,6.33,5.3142
4.7751,3.5215,3.4844
7.6143,6.0059,2.8161
9.0333,4.2009,5.7268
7.207,5.0248,1.3803
9.6321,7.1254,0.1868
7.8201,6.2112,2.063
8.668,6.1938,6.4722
1.141,7.8632,0.9988
7.3241,3.9442,2.8794
4.4009,3.5212,0.8101
5.531,3.9168,0.7335
6.541,4.6182,3.9109
9.6982,1.4682,2.3725
9.8458,4.6889,10.6651
2.8823,4.1831,0.9589
7.3375,6.1756,0.1931
7.4998,5.5286,6.2628
3.4649,4.099,2.3561
1.2387,5.8849,4.279
0.4095,6.0849,1.9942
7.7734,3.8472,4.3876
4.897,4.2605,1.5283
9.8554,1.662,0.431
4.6497,3.364,1.4327
9.7792,3.8863,0.4754
4.1158,5.1112,1.5124
7.9368,3.5819,0.1486
0.8482,4.2298,3.7342
5.5546,3.162,1.739
8.0206,5.2567,1.9552
9.247,5.6386,0.9732
8.2258,5.6035,1.3215
0.3697,5.0185,6.2246
3.727,2.6884,1.0552
0.487,4.0701,2.0594
1.0928,4.389,2.4323
6.7531,4.3951,4.3925
7.1326,5.1125,1.2485
7.7372,7.1383,1.6338
8.6546,6.2181,2.007
7.3943,3.5187,0.4698
8.0087,6.0176,4.3062
0.4896,5.9605,0.9288
2.3454,3.7909,0.0727
6.219,6.2733,0.5549
8.5813,4.7594,1.5102
0.045,2.8851,1.1876
5.1463,5.6828,2.0757
6.7729,5.3254,1.0623
0.2961,4.6585,1.8528
4.0136,4.9438,3.8925
8.9563,3.9214,0.4056
6.7161,5.9152,3.4986
2.3766,4.9348,1.1638
8.5278,5.2497,6.8199
3.4803,5.5357,1.6567
8.5334,3.2681,0.2974
2.9894,3.6586,3.5595
5.9032,1.6851,1.9298
3.9694,5.8471,3.2558
2.7483,3.1817,0.2162
8.8656,5.1989,0.1458
1.8759,5.5565,0.2803
0.8481,5.9035,0.6352
3.4193,3.194,1.8819
7.1764,4.9023,0.6662
8.0743,7.5054,2.8459
9.9874,7.5715,0.1912
2.9636,6.481,0.2459
4.0794,5.5062,9.7426
1.3682,3.4923,4.0053
5.7487,6.0779,0.8201
9.9758,4.763,0.303
7.0088,5.8408,1.7984
5.9521,4.0507,0.2175
3.9237,4.7406,0.1153
9.153,5.2462,1.2228
4.9692,5.3694,2.2541
1.3437,5.7406,0.5381
3.6538,4.1312,0.8121
0.6717,2.9851,7.4379
2.0198,7.4372,2.4382
0.1767,8.7339,6.6327
4.5328,5.6711,2.5738
6.3454,3.014,1.5907
3.4329,3.8402,0.4412
4.2038,5.7637,0.0488
9.5921,7.0117,1.3503
7.5196,3.1807,5.3646
5.4086,4.8135,0.4002
2.8454,5.2939,0.3525
8.97,6.2969,2.9183
2.351,4.4846,0.2049
3.2534,2.6543,0.4504
9.0906,5.9318,3.9217
5.2954,6.6872,0.426
7.4232,4.8761,3.5759
5.9074,5.6079,2.2727
6.5344,4.2883,5.7723
2.9938,3.7313,2.2644
2.4137,6.5396,0.2199
3.2249,5.5812,7.6864
1.5544,5.7356,0.2264
8.7431,7.2532,1.1175
2.8325,3.4177,2.5919
5.6149,4.172,0.8835
7.9197,5.2369,0.5429
7.8382,4.1535,2.1833
4.3839,6.1747,0.3026
4.7626,4.7189,0.1567
9.947,3.5112,1.0461
6.746,5.0987,7.0717
8.1464,5.2555,2.1704
9.0255,6.402,0.4063
7.8759,5.5897,4.6246
1.8518,5.6917,0.1901
5.6217,5.4804,6.1972
1.0189,4.7177,1.9418
6.5292,3.9257,0.1668
9.5535,5.4333,2.7307
5.1273,4.5003,1.6792
4.3297,7.5347,1.5349
0.3584,7.0133,1.6041
9.5977,5.9493,1.2951
1.03,5.5677,1.0783
0.4108,4.8681,5.3245
2.4607,3.1083,0.8516
0.6553,4.6757,3.2105
4.5512,5.1521,4.384
5.1609,5.3442,4.6646
3.1257,5.7043,1.8399
0.5096,6.382,1.6395
1.116,3.9618,1.0491
3.845,3.9754,0.3714
0.6053,7.1763,2.6957
6.9819,6.1565,2.2887
2.0702,4.4138,0.8609
3.0207,4.8392,0.1305
3.9413,4.8459,0.1967
4.1661,5.0474,1.231
0.0166,5.709,1.3612
1.1207,8.8025,1.8653
8.6276,5.2846,0.561
0.0123,5.9939,3.6369
5.0817,2.4703,1.215
4.895,4.2727,1.1309
3.3309,6.8432,1.8921
4.3133,5.6035,2.0105
7.8058,-1.5837,3.3406
8.412,6.011,0.1575
2.6035,7.8772,2.2206
3.2249,2.0061,1.6711
2.4248,7.2791,4.9886
4.7986,0.8421,1.0441
6.8326,6.407,2.1761
2.2825,4.987,4.4465
3.3074,1.475,4.5708
9.3038,5.6692,1.2989
0.4857,6.7263,0.1785
4.6077,5.5458,1.5559
7.1156,5.8772,1.5749
1.5045,4.3825,4.8332
0.4737,2.2079,1.835
1.3821,6.0378,1.3132
9.1882,7.6246,3.7239
0.0926,6.6944,3.2808
1.8832,2.0182,2.9463
0.3128,2.7277,0.051
1.1063,3.731,0.3972
6.2015,2.6105,0.9218
2.4164,5.0663,0.8798
5.6921,5.5901,7.0097
5.902,2.8546,5.0784
8.4944,6.1657,0.7952
0.0474,5.9017,0.1485
8.5337,4.1778,5.1211
6.1912,4.7412,0.2019
1.6274,2.0753,0.6954
7.7294,4.5016,1.084
8.5549,5.0111,0.1951
2.5426,5.2531,1.4916
9.1879,5.5683,2.5991
4.5446,5.3664,1.4204
6.0342,4.6035,1.7379
9.8465,5.4293,3.2405
3.6154,6.503,3.731
8.1316,4.8568,0.0026
3.184,5.4764,2.8117
7.9921,4.7207,1.1283
6.0073,4.0299,4.9578
2.1636,5.7843,1.3171
4.1403,4.1672,0.4918
3.1764,5.5792,1.411
0.7811,5.0424,7.7436
0.2983,4.5441,2.2004
3.4648,4.5078,4.2266
0.1903,4.2378,0.6376
1.6549,2.5313,0.9765
7.2518,5.5743,1.7178
7.0809,5.3473,4.1987
7.3858,6.2745,0.8186
3.1715,4.2028,1.2899
8.9002,7.8431,0.0158
5.9383,4.4304,0.6288
1.2603,3.6873,6.5556
1.4372,3.5095,2.2192
6.931,2.3991,6.6684
1.7294,7.2989,3.5189
5.0729,7.0566,4.686
9.9177,5.9011,0.5628
0.0401,3.6559,11.5171
0.1658,7.7169,1.2329
9.9308,4.4724,2.258
5.8464,4.5965,3.6675
1.2691,7.1559,2.6114
8.973,5.9884,0.2195
8.8038,8.3017,1.6195
5.362,5.3731,6.1678
6.2179,4.4045,6.0673
2.7319,4.0823,2.4287
0.5052,2.2295,1.3041
5.9457,4.5821,1.7586
2.9476,6.7169,0.6657
6.6362,5.8983,0.5153
8.3625,5.0305,3.4914
0.1816,3.5076,0.5958
5.9571,5.3403,1.9721
2.3128,6.5192,7.2243
8.7389,5.6461,2.1691
2.5366,5.2501,2.4471
6.1077,3.8046,2.0418
5.5354,6.3008,5.6603
3.9617,0.3021,2.1058
6.7762,5.5743,0.4276
7.2577,8.8555,1.6709
5.6694,2.7374,0.632
7.5842,4.6379,1.6349
9.8342,4.9881,0.4883
4.1927,4.3061,2.0274
5.1458,6.5546,0.8988
0.1247,5.7087,2.7218
7.9603,5.2285,1.4178
5.2023,6.1959,0.5237
4.0796,5.0251,1.0949
0.9407,9.7698,2.1187
8.8966,5.227,0.6445
3.9501,5.2929,0.209
6.8258,2.4343,3.8684
1.4937,4.1848,0.6812
9.6155,6.7211,1.7897
1.7844,2.9968,0.9573
1.9954,1.7637,0.604
8.5898,5.0485,4.2129
9.1258,7.0561,9.0794
2.1215,5.0636,0.5358
4.698,4.4958,2.4017
7.3349,2.2123,1.4191
8.7837,5.6784,5.0915
3.7905,5.9919,1.8001
5.1702,2.3274,0.3176
7.4172,6.7018,5.0072
7.3114,6.1485,8.3964
7.8296,6.6985,2.1582
5.6993,5.8753,0.3543
1.0462,5.9805,4.84
9.0397,5.7811,1.077
8.6557,6.3027,0.622
7.981,2.2719,2.3695
0.9986,2.7484,6.6535
2.044,3.896,3.3741
7.436,4.8053,3.2089
0.2314,5.5822,0.3011
9.7922,5.487,3.5598
3.7714,6.6757,2.755
7.1931,6.7227,1.7393
8.8757,3.6914,1.6554
3.9463,5.3579,0.0839
3.1913,3.7283,0.1884
6.0874,4.7176,2.2984
5.8099,5.4827,5.4128
4.0914,-0.1131,2.5436
6.0177,8.6169,1.9213
9.3538,5.8496,0.4918
4.6764,4.1064,2.4827
1.9674,7.8911,0.0208
3.7721,4.4789,4.7061
3.9411,5.1988,1.6739
1.3111,4.2693,1.0929
1.6287,7.478,3.3849
6.8456,4.8425,0.9894
3.3948,5.2242,3.476
9.549,6.8057,1.3036
2.436,5.8777,5.7653
0.9892,4.9185,1.4957
7.535,6.6656,0.758
8.8104,8.8077,1.9746
2.7811,5.4761,1.9923
2.0209,5.1751,4.9481
1.8577,5.2559,0.7432
5.2201,6.9656,3.9095
4.6842,4.1012,1.3262
2.5944,4.5825,2.4345
0.4517,2.6938,3.4744
4.8149,3.2242,0.3771
9.5933,4.2233,0.958
6.5252,4.9161,1.1272
4.9551,7.6536,0.2834
1.1069,5.804,0.7473
2.5244,3.6319,0.3623
2.9477,3.908,3.9927
7.648,7.0621,1.8619
8.7671,6.6899,0.9598
9.0164,5.0422,5.8755
9.8457,4.3362,0.4834
9.8237,6.6874,0.8626
9.53,3.51,4.1915
0.7182,5.588,0.2169
1.3779,8.409,4.0078
3.0447,5.308,0.7274
5.529,3.8366,0.675
0.9698,5.6156,0.7722
8.458,4.295,0.5748
6.1676,2.9088,0.9407
5.4236,6.0516,1.7838
1.6531,6.6768,0.8292
2.5326,4.5336,3.8104
1.6031,4.4341,0.6009
8.5193,3.5577,1.1248
5.8423,4.7751,0.1224
7.3513,4.1564,2.3958
2.9603,3.4835,1.5433
3.7125,7.8383,2.8484
4.0485,5.6997,0.313
7.6001,5.8586,0.2166
7.7235,6.3251,3.1732
2.0681,6.1566,0.9348
9.4154,4.3803,5.4342
1.2066,5.4088,2.7361
8.9612,4.5965,0.321
1.004,5.6577,0.2619
2.6454,5.5125,2.664
8.4648,4.426,2.9485
1.7949,3.0061,2.5304
4.1357,5.2194,2.4221
4.4986,4.6936,4.8823
2.4526,2.1644,4.2821
7.1025,5.7615,1.2561
8.5133,6.448,2.8851
8.7458,8.7925,1.594
3.3932,4.4132,0.2805
5.3085,4.1919,4.9794
